实验ID,日期,Git commit,数据版本,Fold,标签来源,模型与预训练,输入与采样,损失函数,关键超参数,每类AUC,Macro AUC,训练时间,推理时间,唯一变量,结论与下一步
exp_001,,,,,,,,,,,,,,,本次实验相较 baseline 只改变：,
